rank,name,matches,defence_points
281,Rakesh Narwal,43,12
282,Shubham Shinde,10,12
283,Vaibhav Satappa Rabade,9,12
284,Nitin Deswal,13,11
285,Tapas Pal,9,11
286,G.S. Manikandan,20,11
287,Naveen Dilbag,27,11
288,Thiyagarajan Yuvaraj,12,11
289,Hemraj Choudhary,9,11
290,Darshan Kadian,40,11
291,Yatharth Deshwal,6,11
292,Seong Ryeol Kim,15,11
293,Vijender Singh,7,10
294,Vinay Virender Redhu,26,10
295,Manjeet Dahiya,23,10
296,Yogesh Hooda,21,10
297,Rakesh Sungroya,37,10
298,Prashanth Kumar Rai,75,10
299,Sagar Kumar Bipin Singh,9,10
300,Ravinder Kumar,9,10
301,Praveen Thakur,11,10
302,Moein Shafaghi,14,10
303,Rajesh Mondal,78,10
304,Akash Santosh Shinde,37,9
305,Shivansh Thakur,6,9
306,Sonu Jaglan,29,9
307,Visvanth V,12,9
308,Deepak Kumar,7,9
309,Santhosh B.S,9,9
310,Siddharth Sirish Desai,63,9
311,Amit Nagar,16,9
312,Pardeep Narwal,54,9
313,Umesh Mhatre,8,9
314,Rakesh Rajesh,8,9
315,Harvinder Singh,4,8
316,Nitin Madane,25,8
317,Deepak Kumar Dahiya,41,8
318,Sandeep Azad Saini,12,8
319,Abhijeet Malik,14,8
320,Ashish Jagat Birwal,21,8
321,Abolfazl Maghsodloumahali,29,8
